Invasive Cancer Incidence Rates by County in Iowa
"Lung and Bronchus, 2011"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Union,12570,20,159.11,115.82,69.86,183.59
Ringgold,5098,11,215.77,115.03,54.48,231.24
Monroe,8044,12,149.18,109.99,56.24,198.84
Page,15926,25,156.98,109.20,70.12,165.07
Montgomery,10655,17,159.55,99.45,57.41,166.74
Adams,3996,6,150.15,95.84,35.14,233.14
Van Buren,7514,11,146.39,93.60,46.35,177.70
Hamilton,15460,18,116.43,90.57,52.47,147.45
Benton,26121,28,107.19,85.29,56.38,124.91
Lee,35586,41,115.21,83.08,59.35,114.21
Fremont,7371,9,122.10,82.48,36.75,168.04
Mills,15014,16,106.57,80.67,45.10,135.84
Tama,17635,20,113.41,80.58,48.98,127.53
Adair,7565,10,132.19,80.33,38.12,160.33
Black Hawk,131460,117,89.00,79.92,65.79,96.25
Pottawattamie,93450,87,93.10,79.76,63.74,98.75
Jones,20739,23,110.90,79.39,49.84,122.05
Jasper,36631,39,106.47,78.10,55.27,108.18
Mahaska,22510,21,93.29,77.34,47.39,120.00
Madison,15735,15,95.33,76.16,42.11,128.94
Worth,7583,8,105.50,75.86,30.95,161.36
Polk,437807,309,70.58,74.99,66.68,84.03
Clarke,9314,9,96.63,74.98,33.67,147.80
Keokuk,10368,12,115.74,74.37,38.07,137.12
Scott,167046,138,82.61,74.17,62.06,88.00
Boone,26337,25,94.92,72.59,46.75,108.83
Des Moines,40095,41,102.26,72.02,51.44,99.04
Wapello,35434,33,93.13,71.65,49.13,101.76
Linn,214022,165,77.09,71.43,60.83,83.37
Floyd,16098,16,99.39,70.55,39.65,118.75
Webster,37727,34,90.12,68.93,47.56,97.50
Franklin,10693,11,102.87,68.17,33.01,129.78
Warren,46678,37,79.27,67.70,47.44,94.10
Wayne,6367,7,109.94,66.92,25.83,154.45
Louisa,11366,10,87.98,66.84,31.94,127.05
Marion,33319,27,81.03,65.50,42.97,96.42
Dubuque,94564,76,80.37,65.36,51.31,82.27
Harrison,14797,14,94.61,65.35,35.43,114.10
Marshall,40990,34,82.95,65.06,44.80,91.98
Woodbury,102649,72,70.14,64.87,50.57,82.01
Dallas,69759,42,60.21,64.79,46.37,88.01
Buchanan,20901,16,76.55,64.78,36.76,106.79
Monona,9262,10,107.97,64.68,30.67,130.22
Calhoun,10072,9,89.36,64.46,28.34,130.88
Hardin,17402,16,91.94,63.45,34.61,108.94
Muscatine,42767,31,72.49,62.83,42.39,90.05
Cedar,18418,14,76.01,61.95,33.58,106.31
Guthrie,10872,10,91.98,61.10,29.19,119.78
Appanoose,12863,11,85.52,60.58,29.94,113.27
Mitchell,10721,10,93.27,60.41,28.55,118.71
Cerro Gordo,43978,39,88.68,59.88,42.35,83.27
Washington,21837,16,73.27,58.79,33.11,97.72
Clinton,49100,38,77.39,58.34,40.98,81.18
Clayton,17992,16,88.93,57.82,32.76,98.16
Decatur,8261,7,84.74,57.75,23.06,128.87
Lucas,8838,8,90.52,57.63,24.59,123.07
Sioux,34030,22,64.65,57.15,35.54,87.49
Chickasaw,12423,10,80.50,56.92,26.79,110.39
O'Brien,14206,12,84.47,56.33,28.41,104.30
Jackson,19724,16,81.12,56.05,31.88,94.17
Howard,9538,7,73.39,55.41,21.71,120.86
Winnebago,10727,9,83.90,54.70,24.44,111.79
Audubon,6019,5,83.07,52.55,17.02,140.55
Fayette,20979,17,81.03,52.06,30.24,86.58
Humboldt,9790,8,81.72,51.61,21.96,110.59
