Invasive Cancer Incidence Rates by County in Iowa
"Lung and Bronchus, 2013"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Palo Alto,9182,15,163.36,108.11,59.76,186.42
Buchanan,20996,26,123.83,101.25,65.85,150.03
Harrison,14415,22,152.62,100.85,62.91,157.17
Page,15554,23,147.87,97.17,60.79,150.63
Adair,7440,11,147.85,96.54,46.60,185.80
Wapello,35379,43,121.54,91.76,65.89,125.21
Des Moines,40437,53,131.07,91.01,67.73,120.63
Appanoose,12645,18,142.35,90.96,53.36,149.80
Ida,7130,10,140.25,88.72,42.35,174.41
Sac,10050,14,139.30,85.81,46.52,152.66
Monroe,7977,10,125.36,85.06,40.45,164.79
Decatur,8240,9,109.22,84.00,36.18,170.75
Cerro Gordo,43506,56,128.72,83.64,62.88,110.18
Cedar,18338,20,109.06,83.11,50.16,131.62
Van Buren,7438,10,134.44,82.52,39.12,163.21
Henry,20103,22,109.44,80.88,50.30,124.99
Lucas,8722,11,126.12,80.76,40.07,153.44
Fayette,20528,25,121.78,79.49,50.95,120.91
Lee,35359,41,115.95,79.43,56.58,109.62
Pottawattamie,92814,95,102.36,79.30,63.95,97.49
Polk,451461,335,74.20,77.67,69.37,86.67
Davis,8762,9,102.72,77.04,35.04,152.00
Dickinson,16944,24,141.64,74.70,47.48,117.21
Humboldt,9667,11,113.79,74.60,36.97,141.12
Muscatine,42941,37,86.16,74.13,51.76,103.20
Mahaska,22403,22,98.20,72.19,44.91,111.54
Mills,14859,12,80.76,71.86,36.65,128.27
Webster,37256,35,93.94,71.63,49.57,101.00
O'Brien,14043,15,106.81,70.98,39.19,122.37
Woodbury,102242,79,77.27,70.95,55.97,88.77
Chickasaw,12228,12,98.14,70.20,35.79,128.08
Franklin,10522,10,95.04,70.20,32.90,135.46
Clarke,9252,9,97.28,67.63,30.70,134.93
Marion,33077,28,84.65,66.93,44.12,98.16
Union,12606,12,95.19,66.18,34.11,120.16
Carroll,20582,21,102.03,65.27,39.78,103.65
Hancock,11061,12,108.49,64.90,33.29,121.30
Clay,16480,15,91.02,64.07,35.10,109.97
Monona,9092,11,120.99,64.02,31.74,127.05
Linn,216077,152,70.35,63.53,53.69,74.69
Montgomery,10438,12,114.96,63.47,32.41,120.54
Greene,9145,8,87.48,63.19,27.07,131.82
Scott,170551,123,72.12,62.58,51.78,75.03
Adams,3890,  ~,  ~,  ~,  ~,  ~
Floyd,16062,16,99.61,61.54,34.80,104.90
Black Hawk,132780,96,72.30,61.41,49.50,75.44
Clayton,17771,14,78.78,61.02,31.75,107.59
Cass,13582,13,95.71,60.45,31.89,109.16
Butler,15017,13,86.57,59.39,31.00,106.58
Crawford,17328,13,75.02,59.14,31.36,103.38
Wayne,6422,6,93.43,58.92,21.10,143.20
Osceola,6206,6,96.68,58.75,21.26,142.99
Emmet,9904,9,90.87,58.74,26.48,119.59
Madison,15471,12,77.56,58.12,29.72,105.24
Calhoun,9922,10,100.79,58.07,27.48,116.53
Lyon,11687,8,68.45,57.93,24.76,117.03
Plymouth,24945,20,80.18,57.90,35.19,91.51
Jasper,36743,30,81.65,57.02,38.25,82.91
Benton,25724,19,73.86,56.36,33.68,89.95
Winneshiek,20862,16,76.69,56.31,31.89,94.90
Wright,12969,12,92.53,55.68,28.49,104.04
Warren,47452,30,63.22,55.30,37.08,79.68
Dallas,75010,37,49.33,55.27,38.61,76.47
Taylor,6210,5,80.52,55.14,17.60,141.46
Story,93569,43,45.96,54.90,39.48,74.35
Marshall,41004,30,73.16,54.68,36.41,79.59
Jackson,19549,16,81.85,54.56,30.71,92.53
Dubuque,95964,67,69.82,54.34,41.99,69.45
Keokuk,10305,8,77.63,51.25,21.92,108.40
Hamilton,15330,12,78.28,51.19,25.91,94.61
Poweshiek,18632,13,69.77,50.53,26.84,89.67
Johnson,139773,60,42.93,50.34,38.04,65.26
Grundy,12324,9,73.03,50.13,22.69,100.72
Clinton,48293,32,66.26,49.66,33.79,71.11
Winnebago,10477,8,76.36,48.34,20.32,104.14
Buena Vista,20552,11,53.52,47.98,23.39,87.78
Cherokee,11894,9,75.67,47.04,20.94,97.58
Jones,20494,15,73.19,46.88,26.08,80.74
Bremer,24588,16,65.07,46.76,26.48,78.35
Hardin,17413,14,80.40,46.55,25.07,83.44
Boone,26359,16,60.70,46.30,26.23,77.05
Jefferson,17493,12,68.60,45.85,22.68,86.83
Shelby,11964,8,66.87,45.56,19.11,97.36
Howard,9476,7,73.87,44.74,17.54,102.02
Iowa,16344,11,67.30,44.22,21.82,83.53
Washington,22017,13,59.05,43.46,22.93,76.71
Fremont,7065,5,70.77,42.53,13.56,114.92
Sioux,34494,14,40.59,40.98,21.79,69.80
Kossuth,15282,9,58.89,40.11,17.17,83.20
Pocahontas,7145,5,69.98,39.89,12.64,110.44
Guthrie,10679,7,65.55,36.30,14.46,85.31
Tama,17512,9,51.39,35.06,15.94,70.41
Louisa,11321,5,44.17,34.39,10.99,85.01
Mitchell,10718,6,55.98,32.07,11.10,80.80
Allamakee,14043,5,35.60,21.59,6.96,57.41
Worth,7541,  ~,  ~,  ~,  ~,  ~
Ringgold,5036,  ~,  ~,  ~,  ~,  ~
Delaware,17499,  ~,  ~,  ~,  ~,  ~
Audubon,5882,0,0.00,0.00,0.00,0.00
STATE,3091930,2428,78.53,63.58, 61.04,66.21

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Million Population."
"Rates generated on Jun 12, 2019."
"Based on data released Nov 2017."
